epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,7094.27,0.93841,0.51869,1.03565,0.93259,0.83848,0.90317,0.72369,0.75221,0.43038,0.98981,0.000614,0.000614,0.000614
142,7144.74,0.9173,0.50919,1.02432,0.93763,0.83113,0.90562,0.71811,0.77727,0.4323,0.99405,0.0006041,0.0006041,0.0006041
143,7171.25,0.92703,0.5136,1.03753,0.93762,0.83507,0.9073,0.71654,0.79513,0.43486,0.99682,0.0005942,0.0005942,0.0005942
144,7192.42,0.93483,0.51293,1.03525,0.94283,0.83162,0.90586,0.71244,0.79934,0.43665,1.00011,0.0005843,0.0005843,0.0005843
145,7231.37,0.92911,0.51315,1.03141,0.93928,0.83368,0.90582,0.71695,0.78324,0.43539,0.99484,0.0005744,0.0005744,0.0005744
146,7278.64,0.93473,0.51828,1.03914,0.93482,0.83877,0.90538,0.71949,0.77614,0.42811,0.99407,0.0005645,0.0005645,0.0005645
147,7344.55,0.90845,0.5107,1.03706,0.94178,0.83276,0.91055,0.71474,0.79724,0.43284,0.995,0.0005546,0.0005546,0.0005546
148,7391.48,0.9307,0.51968,1.04076,0.93877,0.83339,0.90781,0.72576,0.7422,0.42727,0.98419,0.0005447,0.0005447,0.0005447
149,7419.21,0.91456,0.50576,1.02796,0.93792,0.83808,0.90693,0.71438,0.79314,0.42619,0.98839,0.0005348,0.0005348,0.0005348
150,7439.52,0.90935,0.50867,1.02985,0.93587,0.83714,0.90801,0.72724,0.73877,0.41903,0.98513,0.0005249,0.0005249,0.0005249
151,7460.4,0.91181,0.50726,1.02956,0.93788,0.83464,0.90283,0.71295,0.77771,0.42466,0.98971,0.000515,0.000515,0.000515
152,7503.62,0.93086,0.51536,1.03031,0.9378,0.83003,0.90437,0.72585,0.74319,0.42503,0.98575,0.0005051,0.0005051,0.0005051
153,7548.98,0.91212,0.50907,1.02638,0.93794,0.83622,0.90507,0.72485,0.74504,0.42759,0.98752,0.0004952,0.0004952,0.0004952
154,7591.4,0.86552,0.48689,1.01848,0.93832,0.839,0.90794,0.71741,0.77916,0.4306,0.99213,0.0004853,0.0004853,0.0004853
155,7622.89,0.86904,0.48973,1.02157,0.9444,0.83695,0.90736,0.72029,0.76775,0.42151,0.99036,0.0004754,0.0004754,0.0004754
156,7647.69,0.88047,0.50033,1.02288,0.94004,0.83045,0.90461,0.73241,0.72248,0.42076,0.98189,0.0004655,0.0004655,0.0004655
157,7665.72,0.86682,0.48948,1.01167,0.93344,0.83378,0.90624,0.7282,0.74458,0.42482,0.98509,0.0004556,0.0004556,0.0004556
158,7688.75,0.90772,0.50986,1.03681,0.93981,0.83923,0.90544,0.71375,0.79601,0.427,0.99269,0.0004457,0.0004457,0.0004457
159,7722.46,0.86895,0.48854,1.00701,0.94216,0.82515,0.9052,0.72086,0.76696,0.42009,0.98633,0.0004358,0.0004358,0.0004358
160,7752.19,0.89781,0.51362,1.04362,0.9387,0.83238,0.90717,0.73224,0.72175,0.41938,0.98082,0.0004259,0.0004259,0.0004259
161,7788.84,0.89417,0.50175,1.02677,0.94258,0.83646,0.91136,0.73037,0.74007,0.41662,0.98305,0.000416,0.000416,0.000416
162,7841.1,0.89163,0.49018,1.00542,0.93623,0.83882,0.90864,0.72786,0.75101,0.41676,0.98503,0.0004061,0.0004061,0.0004061
163,7925.46,0.88421,0.49478,1.01964,0.94961,0.82952,0.90766,0.73566,0.71736,0.41269,0.98,0.0003962,0.0003962,0.0003962
164,7961.57,0.89919,0.49664,1.02041,0.95175,0.83414,0.90859,0.73018,0.74341,0.4166,0.98279,0.0003863,0.0003863,0.0003863
165,7980.5,0.86722,0.49353,1.02541,0.9401,0.8353,0.9063,0.72501,0.75194,0.42408,0.9877,0.0003764,0.0003764,0.0003764
166,8032.62,0.87108,0.48415,1.01127,0.94749,0.83345,0.90631,0.72528,0.75433,0.41961,0.98561,0.0003665,0.0003665,0.0003665
167,8085.54,0.90041,0.50189,1.02618,0.94337,0.83236,0.90748,0.73017,0.74226,0.41727,0.98308,0.0003566,0.0003566,0.0003566
168,8151.42,0.88425,0.49385,1.02236,0.94205,0.83858,0.91081,0.73358,0.73754,0.41335,0.9818,0.0003467,0.0003467,0.0003467
169,8189.49,0.89769,0.49833,1.01995,0.94109,0.83881,0.90738,0.7294,0.73456,0.41114,0.97832,0.0003368,0.0003368,0.0003368
170,8237.02,0.86366,0.48666,1.01212,0.94071,0.83831,0.90951,0.73832,0.70406,0.4113,0.97445,0.0003269,0.0003269,0.0003269
171,8265.54,0.84887,0.482,1.01434,0.95028,0.83556,0.91332,0.74545,0.70032,0.40732,0.97473,0.000317,0.000317,0.000317
172,8306.11,0.83445,0.47465,1.0083,0.94401,0.83692,0.9123,0.74413,0.71106,0.40594,0.97766,0.0003071,0.0003071,0.0003071
173,8330.23,0.87503,0.48546,1.01504,0.94923,0.83738,0.91068,0.72704,0.76624,0.41547,0.98572,0.0002972,0.0002972,0.0002972
174,8362.5,0.85536,0.47524,1.00253,0.95075,0.83576,0.90758,0.73042,0.7437,0.41209,0.9809,0.0002873,0.0002873,0.0002873
175,8377.3,0.8625,0.48101,1.00843,0.94043,0.83854,0.90852,0.73568,0.72892,0.40686,0.97587,0.0002774,0.0002774,0.0002774
176,8400.52,0.87328,0.47836,1.00443,0.9458,0.83854,0.90919,0.74311,0.70108,0.40151,0.97361,0.0002675,0.0002675,0.0002675
177,8445.4,0.87357,0.4809,1.00508,0.94047,0.84478,0.91062,0.74286,0.70919,0.39943,0.97313,0.0002576,0.0002576,0.0002576
